EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 118382) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   176,118382,19520326,    0,    0
   176,118382,19520327,   26,    0
   176,118382,19520328,    1,    0
   176,118382,19520329,    0,    0
   176,118382,19520330,    0,    0
   176,118382,19520331,    0,    0
   176,118382,19520401,    0,    0
   176,118382,19520402,    1,    0
   176,118382,19520403,    2,    0
   176,118382,19520404,   14,    0
   176,118382,19520405,    1,    0
   176,118382,19520406,    1,    0
   176,118382,19520407,    0,    0
   176,118382,19520408,    0,    0
   176,118382,19520409,    0,    0
   176,118382,19520410,    0,    0
   176,118382,19520411,    0,    0
   176,118382,19520412,    0,    0
   176,118382,19520413,    0,    0
   176,118382,19520414,    0,    0
   176,118382,19520415,    0,    0
   176,118382,19520416,    1,    0
   176,118382,19520417,    6,    0
   176,118382,19520418,   14,    0
   176,118382,19520419,    0,    0
   176,118382,19520420,    0,    0
   176,118382,19520421,    0,    0
   176,118382,19520422,    0,    0
   176,118382,19520423,    0,    0
   176,118382,19520424,    1,    0
   176,118382,19520425,    1,    0
   176,118382,19520426,    4,    0
   176,118382,19520427,    1,    0
   176,118382,19520428,   14,    0
   176,118382,19520429,    0,    0
   176,118382,19520430,    0,    0
   176,118382,19520501,    0,    0
   176,118382,19520502,    0,    0
   176,118382,19520503,    1,    0
   176,118382,19520504,    2,    0
   176,118382,19520505,    1,    0
   176,118382,19520506,    0,    0
   176,118382,19520507,    1,    0
   176,118382,19520508,    0,    0
   176,118382,19520509,    0,    0
   176,118382,19520510,    0,    0
   176,118382,19520511,    0,    0
   176,118382,19520512,    0,    0
   176,118382,19520513,  114,    0
   176,118382,19520514,    0,    0
   176,118382,19520515,    0,    0
   176,118382,19520516,    0,    0
   176,118382,19520517,    0,    0
   176,118382,19520518,    2,    0
   176,118382,19520519,    0,    0
   176,118382,19520520,    0,    0
   176,118382,19520521,  166,    0
   176,118382,19520522,   28,    0
   176,118382,19520523,    0,    0
   176,118382,19520524,    0,    0
   176,118382,19520525,    2,    0
   176,118382,19520526,    0,    0
   176,118382,19520527,    0,    0
   176,118382,19520528,    0,    0
   176,118382,19520529,    0,    0
   176,118382,19520530,    0,    0
   176,118382,19520531,    0,    0
   176,118382,19520601,    0,    0
   176,118382,19520602,    0,    0
   176,118382,19520603,  201,    0
   176,118382,19520604,   68,    0
   176,118382,19520605,    2,    0
   176,118382,19520606,    0,    0
   176,118382,19520607,    0,    0
   176,118382,19520608,    0,    0
   176,118382,19520609,    0,    0
   176,118382,19520610,    0,    0
   176,118382,19520611,    0,    0
   176,118382,19520612,    0,    0
   176,118382,19520613,    0,    0
   176,118382,19520614,    0,    0
   176,118382,19520615,    0,    0
   176,118382,19520616,    1,    0
   176,118382,19520617,    0,    0
   176,118382,19520618,    0,    0
   176,118382,19520619,    0,    0
   176,118382,19520620,    0,    0
   176,118382,19520621,    0,    0
   176,118382,19520622,    0,    0
   176,118382,19520623,    0,    0
   176,118382,19520624,    0,    0
   176,118382,19520625,    0,    0
   176,118382,19520626,    0,    0
   176,118382,19520627,    2,    0
   176,118382,19520628,    0,    0
   176,118382,19520629,    0,    0
   176,118382,19520630,    0,    0
   176,118382,19520701,    0,    0
   176,118382,19520702,    0,    0
   176,118382,19520703,    0,    0
   176,118382,19520704,    0,    0
   176,118382,19520705,    0,    0
   176,118382,19520706,    0,    0
   176,118382,19520707,    0,    0
   176,118382,19520708,    0,    0
   176,118382,19520709,    0,    0
   176,118382,19520710,    1,    0
   176,118382,19520711,    0,    0
   176,118382,19520712,    0,    0
   176,118382,19520713,    0,    0
   176,118382,19520714,    0,    0
   176,118382,19520715,    0,    0
   176,118382,19520716,    0,    0
   176,118382,19520717,    0,    0
   176,118382,19520718,    0,    0
   176,118382,19520719,    0,    0
   176,118382,19520720,    0,    0
   176,118382,19520721,    0,    0
   176,118382,19520722,    0,    0
   176,118382,19520723,  186,    0
   176,118382,19520724,    0,    0
   176,118382,19520725,    1,    0
   176,118382,19520726,    0,    0
   176,118382,19520727,    0,    0
   176,118382,19520728,    1,    0
   176,118382,19520729,  326,    0
   176,118382,19520730,    0,    0
   176,118382,19520731,    0,    0
   176,118382,19520801,    0,    0
   176,118382,19520802,    0,    0
   176,118382,19520803,    0,    0
   176,118382,19520804,    0,    0
   176,118382,19520805,    0,    0
   176,118382,19520806,    0,    0
   176,118382,19520807,    0,    0
   176,118382,19520808,    0,    0
   176,118382,19520809,    0,    0
   176,118382,19520810,    0,    0
   176,118382,19520811,    0,    0
   176,118382,19520812,    0,    0
   176,118382,19520813,    0,    0
   176,118382,19520814,    0,    0
   176,118382,19520815,    0,    0
   176,118382,19520816,    0,    0
   176,118382,19520817,    2,    0
   176,118382,19520818,    1,    0
   176,118382,19520819,    0,    0
   176,118382,19520820,    0,    0
   176,118382,19520821,    0,    0
   176,118382,19520822,    1,    0
   176,118382,19520823,    0,    0
   176,118382,19520824,   66,    0
   176,118382,19520825,    1,    0
   176,118382,19520826,    0,    0
   176,118382,19520827,    0,    0
   176,118382,19520828,    0,    0
   176,118382,19520829,    0,    0
   176,118382,19520830,    0,    0
   176,118382,19520831,    0,    0
   176,118382,19520901,    0,    0
   176,118382,19520902,    0,    0
   176,118382,19520903,    0,    0
   176,118382,19520904,    0,    0
   176,118382,19520905,    0,    0
   176,118382,19520906,   76,    0
   176,118382,19520907,   24,    0
   176,118382,19520908,    0,    0
   176,118382,19520909,    0,    0
   176,118382,19520910,    0,    0
   176,118382,19520911,   12,    0
   176,118382,19520912,   20,    0
   176,118382,19520913,    0,    0
   176,118382,19520914,    6,    0
   176,118382,19520915,  298,    0
   176,118382,19520916,   34,    0
   176,118382,19520917,    1,    0
   176,118382,19520918,   18,    0
   176,118382,19520919,    0,    0
   176,118382,19520920,    0,    0
   176,118382,19520921,    0,    0
   176,118382,19520922,   42,    0
   176,118382,19520923,    1,    0
   176,118382,19520924,    0,    0
   176,118382,19520925,    0,    0
   176,118382,19520926,    2,    0
   176,118382,19520927,   66,    0
   176,118382,19520928,   24,    0
   176,118382,19520929,    1,    0
   176,118382,19520930,    1,    0
   176,118382,19521001,    3,    0
   176,118382,19521002,   94,    0
   176,118382,19521003,    0,    0
   176,118382,19521004,    0,    0
   176,118382,19521005,    4,    0
   176,118382,19521006,    0,    0
   176,118382,19521007,    0,    0
   176,118382,19521008,    1,    0
   176,118382,19521009,    0,    0
   176,118382,19521010,    0,    0
   176,118382,19521011,   18,    0
   176,118382,19521012,    0,    0
   176,118382,19521013,    0,    0
   176,118382,19521014,    1,    0
   176,118382,19521015,    0,    0
   176,118382,19521016,    0,    0
   176,118382,19521017,   52,    0
   176,118382,19521018,    2,    0
   176,118382,19521019,    0,    0
   176,118382,19521020,    0,    0
   176,118382,19521021,    2,    0
   176,118382,19521022,    2,    0
   176,118382,19521023,   26,    0
   176,118382,19521024,    1,    0
   176,118382,19521025,    1,    0
   176,118382,19521026,    2,    0
   176,118382,19521027,    2,    0
   176,118382,19521028,    0,    0
   176,118382,19521029,    0,    0
   176,118382,19521030,   94,    0
   176,118382,19521031,    3,    0
   176,118382,19521101,    1,    0
   176,118382,19521102,    0,    0
   176,118382,19521103,    1,    0
   176,118382,19521104,    0,    0
   176,118382,19521105,    0,    0
   176,118382,19521106,    0,    0
   176,118382,19521107,    8,    0
   176,118382,19521108,    1,    0
   176,118382,19521109,    0,    0
   176,118382,19521110,    0,    0
   176,118382,19521111,    0,    0
   176,118382,19521112,    1,    0
   176,118382,19521113,    0,    0
   176,118382,19521114,    1,    0
   176,118382,19521115,    1,    0
   176,118382,19521116,    1,    0
   176,118382,19521117,   38,    0
   176,118382,19521118,    0,    0
   176,118382,19521119,   62,    0
   176,118382,19521120,    1,    0
   176,118382,19521121,    0,    0
   176,118382,19521122,   58,    0
   176,118382,19521123,    1,    0
   176,118382,19521124,    1,    0
   176,118382,19521125,    2,    0
   176,118382,19521126,    1,    0
   176,118382,19521127,    0,    0
   176,118382,19521128,    0,    0
   176,118382,19521129,    0,    0
   176,118382,19521130,    0,    0
   176,118382,19521201,    1,    0
   176,118382,19521202,    1,    0
   176,118382,19521203,    2,    0
   176,118382,19521204,   32,    0
   176,118382,19521205,    2,    0
   176,118382,19521206,   10,    0
   176,118382,19521207,   47,    0
   176,118382,19521208,    2,    0
   176,118382,19521209,    0,    0
   176,118382,19521210,    0,    0
   176,118382,19521211,    6,    0
   176,118382,19521212,   16,    0
   176,118382,19521213,   10,    0
   176,118382,19521214,   26,    0
   176,118382,19521215,   30,    0
   176,118382,19521216,   18,    0
   176,118382,19521217,    1,    0
   176,118382,19521218,   20,    0
   176,118382,19521219,    0,    0
   176,118382,19521220,    0,    0
   176,118382,19521221,    0,    0
   176,118382,19521222,   16,    0
   176,118382,19521223,    0,    0
   176,118382,19521224,    0,    0
   176,118382,19521225,    0,    0
   176,118382,19521226,    0,    0
   176,118382,19521227,   42,    0
   176,118382,19521228,   14,    0
   176,118382,19521229,   80,    0
   176,118382,19521230,   10,    0
   176,118382,19521231,    0,    0
   176,118382,19530101,  204,    0
   176,118382,19530102,   50,    0
   176,118382,19530103,    2,    0
   176,118382,19530104,    2,    0
   176,118382,19530105,  130,    0
   176,118382,19530106,   20,    0
   176,118382,19530107,   70,    0
   176,118382,19530108,   28,    0
   176,118382,19530109,    0,    0
   176,118382,19530110,    0,    0
   176,118382,19530111,    0,    0
   176,118382,19530112,    0,    0
   176,118382,19530113,    0,    0
   176,118382,19530114,    0,    0
   176,118382,19530115,    1,    0
   176,118382,19530116,    0,    0
   176,118382,19530117,    0,    0
   176,118382,19530118,    0,    0
   176,118382,19530119,    0,    0
   176,118382,19530120,    0,    0
   176,118382,19530121,    0,    0
   176,118382,19530122,    0,    0
   176,118382,19530123,    0,    0
   176,118382,19530124,    1,    0
   176,118382,19530125,    0,    0
   176,118382,19530126,   60,    0
   176,118382,19530127,   12,    0
   176,118382,19530128,    0,    0
   176,118382,19530129,    0,    0
   176,118382,19530130,    0,    0
   176,118382,19530131,    1,    0
   176,118382,19530201,    0,    0
   176,118382,19530202,    0,    0
   176,118382,19530203,    0,    0
   176,118382,19530204,    0,    0
   176,118382,19530205,   24,    0
   176,118382,19530206,   32,    0
   176,118382,19530207,   51,    0
   176,118382,19530208,   22,    0
   176,118382,19530209,    1,    0
   176,118382,19530210,   16,    0
   176,118382,19530211,   66,    0
   176,118382,19530212,   24,    0
   176,118382,19530213,    8,    0
