EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : sunshine in 0.1 Hours
30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105265) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
   176,105265,19991120,   23,    0
   176,105265,19991121,    0,    0
   176,105265,19991122,   25,    0
   176,105265,19991123,   85,    0
   176,105265,19991124,   42,    0
   176,105265,19991125,   80,    0
   176,105265,19991126,   78,    0
   176,105265,19991127,   82,    0
   176,105265,19991128,   84,    0
   176,105265,19991129,   45,    0
   176,105265,19991130,   61,    0
   176,105265,19991201,   75,    0
   176,105265,19991202,    2,    0
   176,105265,19991203,   18,    0
   176,105265,19991204,   14,    0
   176,105265,19991205,    0,    0
   176,105265,19991206,   84,    0
   176,105265,19991207,   84,    0
   176,105265,19991208,   58,    0
   176,105265,19991209,   15,    0
   176,105265,19991210,    0,    0
   176,105265,19991211,   14,    0
   176,105265,19991212,    8,    0
   176,105265,19991213,   63,    0
   176,105265,19991214,    0,    0
   176,105265,19991215,    0,    0
   176,105265,19991216,   24,    0
   176,105265,19991217,    0,    0
   176,105265,19991218,   77,    0
   176,105265,19991219,   60,    0
   176,105265,19991220,   15,    0
   176,105265,19991221,   65,    0
   176,105265,19991222,   81,    0
   176,105265,19991223,   80,    0
   176,105265,19991224,   44,    0
   176,105265,19991225,   80,    0
   176,105265,19991226,   18,    0
   176,105265,19991227,   22,    0
   176,105265,19991228,   27,    0
   176,105265,19991229,   11,    0
   176,105265,19991230,   74,    0
   176,105265,19991231,   83,    0
   176,105265,20000101,   84,    0
   176,105265,20000102,   65,    0
   176,105265,20000103,    0,    0
   176,105265,20000104,   82,    0
   176,105265,20000105,   75,    0
   176,105265,20000106,   80,    0
   176,105265,20000107,   68,    0
   176,105265,20000108,   30,    0
   176,105265,20000109,    0,    0
   176,105265,20000110,   63,    0
   176,105265,20000111,   62,    0
   176,105265,20000112,   10,    0
   176,105265,20000113,   15,    0
   176,105265,20000114,    2,    0
   176,105265,20000115,   40,    0
   176,105265,20000116,   62,    0
   176,105265,20000117,   74,    0
   176,105265,20000118,   67,    0
   176,105265,20000119,   86,    0
   176,105265,20000120,   88,    0
   176,105265,20000121,   10,    0
   176,105265,20000122,   12,    0
   176,105265,20000123,   30,    0
   176,105265,20000124,   84,    0
   176,105265,20000125,   78,    0
   176,105265,20000126,   30,    0
   176,105265,20000127,   89,    0
   176,105265,20000128,   17,    0
   176,105265,20000129,   27,    0
   176,105265,20000130,   84,    0
   176,105265,20000131,   22,    0
   176,105265,20000201,   27,    0
   176,105265,20000202,   17,    0
   176,105265,20000203,   84,    0
   176,105265,20000204,   68,    0
   176,105265,20000205,   90,    0
   176,105265,20000206,   90,    0
   176,105265,20000207,   34,    0
   176,105265,20000208,   14,    0
   176,105265,20000209,   30,    0
   176,105265,20000210,   87,    0
   176,105265,20000211,   85,    0
